Year,Month,Day,Longitude,Latitude,ProfileNumber,Dataset,DO_mean(umol/kg),DO_min(umol/kg),DO_max(umol/kg),Depth_min(m),Depth_max(m)
1980.0,1.0,5.0,159.8,29.53,359587.0,Hydrobase3,207.72727272727272,83.9,224.5,0.0,900.0
1980.0,1.0,5.0,159.8,29.533,359588.0,Hydrobase3,183.85555555555555,53.9,224.9,0.0,1045.0
1980.0,1.0,5.0,159.8,29.5333,227346.0,WOD_OSD,183.9138094584147,54.026798248291016,224.82119750976562,0.0,1045.0
1980.0,1.0,5.0,159.9667,30.05,227352.0,WOD_OSD,181.73046798706054,47.05560302734375,226.1282958984375,0.0,1142.0
1980.0,1.0,5.0,159.967,30.05,359589.0,Hydrobase3,181.65,46.9,226.1,0.0,1142.0
1980.0,1.0,5.0,159.97,30.05,359590.0,Hydrobase3,206.53333333333333,59.1,226.1,0.0,1000.0
1980.0,1.0,5.0,160.0,28.6667,227332.0,WOD_OSD,178.07058982849122,50.976898193359375,225.25689697265625,0.0,1040.0
1980.0,1.0,5.0,160.0,28.667,359594.0,Hydrobase3,192.14444444444445,57.8,225.2,0.0,957.0
1980.0,1.0,5.0,160.0,28.67,359595.0,Hydrobase3,195.04999999999998,52.6,224.4,0.0,1000.0
1980.0,1.0,5.0,160.0,29.2833,227338.0,WOD_OSD,176.74896664089627,38.77729797363281,221.33560180664062,0.0,1185.0
1980.0,1.0,30.0,145.4,35.0,228374.0,WOD_OSD,214.92458125523157,118.94609832763672,243.9919891357422,0.0,419.0
1980.0,1.0,30.0,146.5833,35.0,228392.0,WOD_OSD,211.9991716657366,182.5583038330078,223.51409912109375,0.0,471.0
1980.0,1.0,31.0,147.7833,35.0,228410.0,WOD_OSD,195.6292953491211,82.78299713134766,232.22808837890625,0.0,788.0
1980.0,1.0,31.0,150.2167,35.0,228440.0,WOD_OSD,221.08662850516183,190.40089416503906,233.0994873046875,0.0,447.0
1980.0,1.0,31.0,151.3667,35.0,228445.0,WOD_OSD,218.59691292898995,145.95948791503906,247.91329956054688,0.0,503.0
1980.0,2.0,1.0,152.53,35.0,360469.0,Hydrobase3,229.7111111111111,186.2,261.2,0.0,300.0
1980.0,2.0,1.0,152.5333,35.0,228452.0,WOD_OSD,216.9163578578404,179.50839233398438,240.07070922851562,0.0,688.0
1980.0,2.0,2.0,152.0,36.0,228487.0,WOD_OSD,199.98629760742188,99.339599609375,244.86338806152344,0.0,678.0
1980.0,2.0,2.0,152.0,36.0,360499.0,Hydrobase3,226.26666666666668,170.6,261.3,0.0,300.0
1980.0,2.0,2.0,153.0,36.0,228476.0,WOD_OSD,198.1812526157924,74.50469970703125,259.2414855957031,0.0,662.0
1980.0,2.0,2.0,153.0,36.0,360500.0,Hydrobase3,227.63333333333333,172.3,261.2,0.0,300.0
1980.0,2.0,3.0,149.55,36.0,228525.0,WOD_OSD,203.84535217285156,96.28970336914062,231.7924041748047,0.0,764.0
1980.0,2.0,3.0,149.55,36.0,360530.0,Hydrobase3,225.31428571428572,208.1,231.3,0.0,300.0
1980.0,2.0,3.0,150.78,36.0,360531.0,Hydrobase3,230.61111111111111,194.7,261.3,0.0,300.0
1980.0,2.0,3.0,150.7833,36.0,228509.0,WOD_OSD,217.78775242396765,163.8231964111328,246.60618591308594,0.0,630.0
1980.0,2.0,4.0,145.8833,36.0,228561.0,WOD_OSD,222.71531677246094,185.17250061035156,247.04190063476562,0.0,757.0
1980.0,2.0,4.0,147.1167,36.0,228545.0,WOD_OSD,215.67149788992745,166.00169372558594,273.6195983886719,0.0,426.0
1980.0,2.0,4.0,147.12,36.0,360547.0,Hydrobase3,227.4125,206.5,261.4,0.0,150.0
1980.0,2.0,18.0,141.18,33.83,361131.0,Hydrobase3,159.47407407407408,56.5,235.7,0.0,3000.0
1980.0,2.0,18.0,141.1833,33.8333,229207.0,WOD_OSD,165.35272891704852,56.58087158203125,236.07882690429688,0.0,3310.0
1980.0,2.0,18.0,141.48,33.52,361132.0,Hydrobase3,167.1769230769231,52.2,237.0,0.0,3000.0
1980.0,2.0,18.0,141.4833,33.5167,229198.0,WOD_OSD,167.49139184218186,53.65427780151367,237.05435180664062,0.0,3264.0
1980.0,2.0,19.0,140.2,34.9167,229234.0,WOD_OSD,152.97275488717216,48.776615142822266,234.12774658203125,0.0,1436.0
1980.0,2.0,19.0,140.2,34.92,361169.0,Hydrobase3,153.02380952380952,47.8,233.9,0.0,1300.0
1980.0,2.0,19.0,140.6167,34.5,229226.0,WOD_OSD,144.1836784362793,46.8255500793457,225.34796142578125,0.0,3672.0
1980.0,2.0,19.0,140.62,34.5,361170.0,Hydrobase3,150.02916666666667,47.8,225.2,0.0,3500.0
1980.0,2.0,19.0,140.93,34.23,361171.0,Hydrobase3,168.83888888888887,56.5,225.3,0.0,1200.0
1980.0,2.0,19.0,140.9333,34.2333,229220.0,WOD_OSD,162.06030400594076,57.55640411376953,225.34796142578125,0.0,1276.0
1980.0,2.0,20.0,142.33,38.47,361203.0,Hydrobase3,230.47692307692307,58.3,274.5,0.0,600.0
1980.0,2.0,20.0,142.333,38.467,361204.0,Hydrobase3,211.70714285714286,56.5,274.5,0.0,614.0
1980.0,2.0,20.0,142.3333,38.4667,229291.0,WOD_OSD,212.03029414585657,56.64099884033203,274.92669677734375,0.0,614.0
1980.0,2.0,20.0,142.98,38.5,361205.0,Hydrobase3,194.7111111111111,46.9,278.0,0.0,1200.0
1980.0,2.0,20.0,142.983,38.5,361206.0,Hydrobase3,192.83529411764704,46.5,278.9,0.0,1237.0
1980.0,2.0,20.0,142.9833,38.5,229297.0,WOD_OSD,193.1432477165671,46.619903564453125,279.28369140625,0.0,1237.0
1980.0,2.0,20.0,146.5,37.0,229258.0,WOD_OSD,215.85822405133928,183.86538696289062,230.92100524902344,0.0,420.0
1980.0,2.0,20.0,146.5,37.0,361208.0,Hydrobase3,219.2125,197.2,227.8,0.0,200.0
1980.0,2.0,20.0,147.5,29.0,229286.0,WOD_OSD,179.23608589172363,45.31279754638672,228.30679321289062,0.0,1572.0
1980.0,2.0,20.0,147.5,30.02,229294.0,WOD_OSD,176.18331909179688,43.56999969482422,231.7924041748047,0.0,1660.0
1980.0,2.0,20.0,147.5,30.02,361211.0,Hydrobase3,176.71428571428572,45.3,231.7,0.0,1500.0
1980.0,2.0,20.0,147.7,37.0,229277.0,WOD_OSD,205.5881576538086,126.3530044555664,245.29910278320312,0.0,534.0
1980.0,2.0,20.0,147.7,37.0,361212.0,Hydrobase3,234.08571428571426,195.8,261.2,0.0,250.0
1980.0,2.0,20.0,148.93,37.0,361213.0,Hydrobase3,233.05,183.6,261.3,0.0,300.0
1980.0,2.0,20.0,148.9333,37.0,229292.0,WOD_OSD,199.42610931396484,82.78299713134766,261.41998291015625,0.0,587.0
1980.0,2.0,21.0,142.9667,37.6667,229307.0,WOD_OSD,189.73453835880056,45.748497009277344,269.2626037597656,0.0,1198.0
1980.0,2.0,21.0,142.967,37.667,361244.0,Hydrobase3,189.44117647058823,45.6,268.9,0.0,1198.0
1980.0,2.0,21.0,142.97,37.67,361245.0,Hydrobase3,197.23125,47.4,268.9,10.0,1100.0
1980.0,2.0,21.0,145.0,30.0,229320.0,WOD_OSD,178.49176559448242,35.72739791870117,230.0496063232422,0.0,1502.0
